date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:47	939/939	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a63f887b27c65da229282b955e3cbd6%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a922c081a5cb874784748_ph_map-pin-fill.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a922c081a5cb874784748_ph_map-pin-fill.svg	(from https://)
17:28:47	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2001:28:52%20GMT	https://www.instagram.com/broadstonelandscape/	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/www.instagram.com/broadstonelandscape/index.html	(from https://)
17:28:47	982/982	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22323a95a04e4b2d45bd37cd51ef6209d8%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a922c081a5cb874784752_ph_phone-fill.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a922c081a5cb874784752_ph_phone-fill.svg	(from https://)
17:28:47	31832/31832	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2213f4054d860fda98f25d57faae221ac4%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9344e02490edad68daeb_primary%201.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9344e02490edad68daeb_primary%201.svg	(from https://)
17:28:48	85919/85919	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202025%2016:02:42%20GMT	https://about-us	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//about-us.html	(from https://)
17:28:48	83326/83326	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2007:17:45%20GMT	https://our-services	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//our-services.html	(from https://)
17:28:49	69183/69183	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2014:54:56%20GMT	https://our-work	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//our-work.html	(from https://)
17:28:49	74508/74508	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2004:59:40%20GMT	https://faq	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//faq.html	(from https://)
17:28:49	95163/95163	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2008:07:29%20GMT	https://blog	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//blog.html	(from https://)
17:28:50	76933/76933	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2016:12:31%20GMT	https://contact-us	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//contact-us.html	(from https://)
